Model,Accuracy,Precision,Recall,F1
PGCF (Video Only),0.9596774193548387,0.8761061946902655,0.99,0.9295774647887324
AGCF (Audio Only),0.8924731182795699,0.7941176470588235,0.81,0.801980198019802
Late Fusion (Hard AND),0.946236559139785,0.9878048780487805,0.81,0.8901098901098901
Late Fusion (Soft Product),0.9758064516129032,0.9690721649484536,0.94,0.9543147208121827
